place of birth,age group,gender,year,province of residence,concept,value
abroad,10-14,male,2011,A Coruña,population,2009
abroad,10-14,male,2011,Lugo,population,550
abroad,10-14,male,2011,Ourense,population,642
abroad,10-14,male,2011,Pontevedra,population,1631
abroad,10-14,female,2001,total,population,3263
abroad,10-14,female,2001,A Coruña,population,1296
abroad,10-14,female,2001,Lugo,population,238
abroad,10-14,female,2001,Ourense,population,717
abroad,10-14,female,2001,Pontevedra,population,1012
abroad,10-14,female,2011,total,population,4497
abroad,10-14,female,2011,A Coruña,population,1869
abroad,10-14,female,2011,Lugo,population,513
abroad,10-14,female,2011,Ourense,population,611
abroad,10-14,female,2011,Pontevedra,population,1504
abroad,15-19,total,2001,total,population,8146
abroad,15-19,total,2001,A Coruña,population,3090
abroad,15-19,total,2001,Lugo,population,654
abroad,15-19,total,2001,Ourense,population,1835
abroad,15-19,total,2001,Pontevedra,population,2567
abroad,15-19,total,2011,total,population,11722
abroad,15-19,total,2011,A Coruña,population,4840
abroad,15-19,total,2011,Lugo,population,1226
abroad,15-19,total,2011,Ourense,population,1720
abroad,15-19,total,2011,Pontevedra,population,3936
abroad,15-19,male,2001,total,population,4152
abroad,15-19,male,2001,A Coruña,population,1566
abroad,15-19,male,2001,Lugo,population,317
abroad,15-19,male,2001,Ourense,population,948
abroad,15-19,male,2001,Pontevedra,population,1321
abroad,15-19,male,2011,total,population,6044
abroad,15-19,male,2011,A Coruña,population,2520
abroad,15-19,male,2011,Lugo,population,636
abroad,15-19,male,2011,Ourense,population,874
abroad,15-19,male,2011,Pontevedra,population,2014
abroad,15-19,female,2001,total,population,3994
abroad,15-19,female,2001,A Coruña,population,1524
abroad,15-19,female,2001,Lugo,population,337
abroad,15-19,female,2001,Ourense,population,887
abroad,15-19,female,2001,Pontevedra,population,1246
abroad,15-19,female,2011,total,population,5678
abroad,15-19,female,2011,A Coruña,population,2321
abroad,15-19,female,2011,Lugo,population,589
abroad,15-19,female,2011,Ourense,population,846
abroad,15-19,female,2011,Pontevedra,population,1922
abroad,20-24,total,2001,total,population,12196
abroad,20-24,total,2001,A Coruña,population,4651
abroad,20-24,total,2001,Lugo,population,971
abroad,20-24,total,2001,Ourense,population,2640
abroad,20-24,total,2001,Pontevedra,population,3934
abroad,20-24,total,2011,total,population,15844
abroad,20-24,total,2011,A Coruña,population,6459
abroad,20-24,total,2011,Lugo,population,1691
abroad,20-24,total,2011,Ourense,population,2650
abroad,20-24,total,2011,Pontevedra,population,5043
abroad,20-24,male,2001,total,population,5839
abroad,20-24,male,2001,A Coruña,population,2206
abroad,20-24,male,2001,Lugo,population,463
abroad,20-24,male,2001,Ourense,population,1293
abroad,20-24,male,2001,Pontevedra,population,1877
abroad,20-24,male,2011,total,population,7794
abroad,20-24,male,2011,A Coruña,population,3130
abroad,20-24,male,2011,Lugo,population,843
abroad,20-24,male,2011,Ourense,population,1306
abroad,20-24,male,2011,Pontevedra,population,2515
abroad,20-24,female,2001,total,population,6357
abroad,20-24,female,2001,A Coruña,population,2445
abroad,20-24,female,2001,Lugo,population,508
abroad,20-24,female,2001,Ourense,population,1347
abroad,20-24,female,2001,Pontevedra,population,2057
abroad,20-24,female,2011,total,population,8050
abroad,20-24,female,2011,A Coruña,population,3329
abroad,20-24,female,2011,Lugo,population,848
abroad,20-24,female,2011,Ourense,population,1343
abroad,20-24,female,2011,Pontevedra,population,2528
abroad,25-29,total,2001,total,population,18926
abroad,25-29,total,2001,A Coruña,population,7379
abroad,25-29,total,2001,Lugo,population,1601
abroad,25-29,total,2001,Ourense,population,3813
abroad,25-29,total,2001,Pontevedra,population,6133
abroad,25-29,total,2011,total,population,21722
abroad,25-29,total,2011,A Coruña,population,8615
abroad,25-29,total,2011,Lugo,population,2463
abroad,25-29,total,2011,Ourense,population,3517
abroad,25-29,total,2011,Pontevedra,population,7127
abroad,25-29,male,2001,total,population,9025
abroad,25-29,male,2001,A Coruña,population,3569
abroad,25-29,male,2001,Lugo,population,719
abroad,25-29,male,2001,Ourense,population,1842
abroad,25-29,male,2001,Pontevedra,population,2895
abroad,25-29,male,2011,total,population,10410
abroad,25-29,male,2011,A Coruña,population,4003
abroad,25-29,male,2011,Lugo,population,1240
abroad,25-29,male,2011,Ourense,population,1710
abroad,25-29,male,2011,Pontevedra,population,3457
abroad,25-29,female,2001,total,population,9901
abroad,25-29,female,2001,A Coruña,population,3810
abroad,25-29,female,2001,Lugo,population,882
abroad,25-29,female,2001,Ourense,population,1971
abroad,25-29,female,2001,Pontevedra,population,3238
abroad,25-29,female,2011,total,population,11312
abroad,25-29,female,2011,A Coruña,population,4612
abroad,25-29,female,2011,Lugo,population,1223
abroad,25-29,female,2011,Ourense,population,1807
abroad,25-29,female,2011,Pontevedra,population,3670
abroad,30-34,total,2001,total,population,17794
abroad,30-34,total,2001,A Coruña,population,7124
abroad,30-34,total,2001,Lugo,population,1481
abroad,30-34,total,2001,Ourense,population,3313
abroad,30-34,total,2001,Pontevedra,population,5876
abroad,30-34,total,2011,total,population,27532
abroad,30-34,total,2011,A Coruña,population,10898
abroad,30-34,total,2011,Lugo,population,3041
abroad,30-34,total,2011,Ourense,population,4241
abroad,30-34,total,2011,Pontevedra,population,9353
abroad,30-34,male,2001,total,population,8364
abroad,30-34,male,2001,A Coruña,population,3316
abroad,30-34,male,2001,Lugo,population,709
abroad,30-34,male,2001,Ourense,population,1528
abroad,30-34,male,2001,Pontevedra,population,2811
abroad,30-34,male,2011,total,population,13446
abroad,30-34,male,2011,A Coruña,population,5166
abroad,30-34,male,2011,Lugo,population,1595
abroad,30-34,male,2011,Ourense,population,2093
abroad,30-34,male,2011,Pontevedra,population,4592
abroad,30-34,female,2001,total,population,9430
abroad,30-34,female,2001,A Coruña,population,3808
abroad,30-34,female,2001,Lugo,population,772
abroad,30-34,female,2001,Ourense,population,1785
abroad,30-34,female,2001,Pontevedra,population,3065
abroad,30-34,female,2011,total,population,14086
abroad,30-34,female,2011,A Coruña,population,5732
abroad,30-34,female,2011,Lugo,population,1445
abroad,30-34,female,2011,Ourense,population,2148
abroad,30-34,female,2011,Pontevedra,population,4761
abroad,35-39,total,2001,total,population,13557
abroad,35-39,total,2001,A Coruña,population,5079
abroad,35-39,total,2001,Lugo,population,1126
abroad,35-39,total,2001,Ourense,population,2532
abroad,35-39,total,2001,Pontevedra,population,4820
abroad,35-39,total,2011,total,population,32114
abroad,35-39,total,2011,A Coruña,population,12795
abroad,35-39,total,2011,Lugo,population,3185
abroad,35-39,total,2011,Ourense,population,5046
abroad,35-39,total,2011,Pontevedra,population,11089
abroad,35-39,male,2001,total,population,6220
abroad,35-39,male,2001,A Coruña,population,2282
abroad,35-39,male,2001,Lugo,population,498
abroad,35-39,male,2001,Ourense,population,1120
abroad,35-39,male,2001,Pontevedra,population,2320
abroad,35-39,male,2011,total,population,16036
abroad,35-39,male,2011,A Coruña,population,6252
abroad,35-39,male,2011,Lugo,population,1656
abroad,35-39,male,2011,Ourense,population,2532
abroad,35-39,male,2011,Pontevedra,population,5597
abroad,35-39,female,2001,total,population,7337
abroad,35-39,female,2001,A Coruña,population,2797
abroad,35-39,female,2001,Lugo,population,628
abroad,35-39,female,2001,Ourense,population,1412
abroad,35-39,female,2001,Pontevedra,population,2500
abroad,35-39,female,2011,total,population,16079
abroad,35-39,female,2011,A Coruña,population,6543
abroad,35-39,female,2011,Lugo,population,1529
abroad,35-39,female,2011,Ourense,population,2514
abroad,35-39,female,2011,Pontevedra,population,5492
abroad,40-44,total,2001,total,population,9024
abroad,40-44,total,2001,A Coruña,population,3200
abroad,40-44,total,2001,Lugo,population,696
abroad,40-44,total,2001,Ourense,population,1663
abroad,40-44,total,2001,Pontevedra,population,3465
abroad,40-44,total,2011,total,population,27933
abroad,40-44,total,2011,A Coruña,population,11143
abroad,40-44,total,2011,Lugo,population,2752
